emoji,name,group,sub_group,codepoints,labels
😗,kissing face,Smileys & Emotion,face-affection,1F617,"face, open eyes, puckered lips, love, affection, whistling, surprise, admiration, contempt, feigned, innocence, duck face"
☺️,smiling face,Smileys & Emotion,face-affection,263A FE0F,"face, smiling, modest, rosy cheeks, red cheeks, soft eyes, closed eyes, relaxed eyebrows, warm, love, happy, gratitude"
☺,smiling face,Smileys & Emotion,face-affection,263A,"face, smiling, modest, rosy cheeks, red cheeks, soft eyes, closed eyes, relaxed eyebrows, warm, love, happy, gratitude"
😚,kissing face with closed eyes,Smileys & Emotion,face-affection,1F61A,"face, smiling eyes, closed eyes, kiss, rosy cheeks, red cheeks, puckered lips, romantic, affection, love, thank you"
😙,kissing face with smiling eyes,Smileys & Emotion,face-affection,1F619,"face, smiling eyes, puckered lips, kiss, love, affection, whistling, admiration, contempt, feigned, innocence, relaxed"
😋,face savoring food,Smileys & Emotion,face-tongue,1F60B,"face, smiling eyes, broad smile, closed smile, tongue, licking, appetite, contentment, delicious, attractive, hungry"
😛,face with tongue,Smileys & Emotion,face-tongue,1F61B,"face, open eyes, tongue, fun, excitement, silliness, cuteness, jesting, stuck out tongue, horseplay"
😜,winking face with tongue,Smileys & Emotion,face-tongue,1F61C,"face, winking, zany, closed eye, open eye, tongue, silly, funny, fun, excited, joking, stuck out tongue, one eye"
🤪,zany face,Smileys & Emotion,face-tongue,1F92A,"face, silly, grinning, wide, white eyes, wild, cockeyed, tongue, stuck out tongue,tilted, fun, funny, zany, wacky, crazy, joy"
😝,squinting face with tongue,Smileys & Emotion,face-tongue,1F61D,"face, squinting, tongue, scrunched, X-shaped eyes, grinning, stuck out tongue, fun, excited, playfulness, hilarity, happy, awesome, joking, funny"
🤑,money-mouth face,Smileys & Emotion,face-tongue,1F911,"face, dollar signs, $, raised eyebrows, eyebrows, open smile, tongue, stuck out tongue, green tongue, money, wealth, rich, banknote"
🤗,hugging face,Smileys & Emotion,face-hand,1F917,"face, hands, open hands, hug, smiling, thanks, support, love, care, warm, jazz hands, excitement, enthusiasm, red cheeks, rosy cheeks, friendly"
🤭,face with hand over mouth,Smileys & Emotion,face-hand,1F92D,"face, hand,  covered mouth, oh my, lauging,  embarrassed, giggling, oops, shock, surprise"
🤫,shushing face,Smileys & Emotion,face-hand,1F92B,"face, shushing, shh, shush, index finger, pursed lips, silence, quiet, secrecy, discreet, hush, secret, shut up"
🤔,thinking face,Smileys & Emotion,face-hand,1F914,"face, thinking, furrowed eyebrows, eyebrows, thumb, index finger, pondering, questioning, scorn, hmm, idk, skeptical, puzzled, chin thumb, thinker, mulling"
🤐,zipper-mouth face,Smileys & Emotion,face-neutral-skeptical,1F910,"face, open eyes, zipper, closed zipper, zipper mouth, secret, secrecy, sealed, zip it, shut up, sealed lips, , silence, quiet, closed lips"
🤨,face with raised eyebrow,Smileys & Emotion,face-neutral-skeptical,1F928,"face, raised eyebrow, furrowed eyebrows, neutral mouth, flat mouth, closed mouth, straight mouth, suspicion, skeptical, concern, consideration, disbelief, disapproval, questioning"
😐,neutral face,Smileys & Emotion,face-neutral-skeptical,1F610,"face, open eyes, neutral mouth, flat mouth, closed mouth, straight mouth, straight faced, pokerface, unimpressed, awkward, indifferent"
😑,expressionless face,Smileys & Emotion,face-neutral-skeptical,1F611,"face, neutral mouth, flat mouth, closed mouth, straight mouth, flated eyes, closed eyes, frustrated, expressionless, tired, annoyed, emotionless, no patience"
😶,face without mouth,Smileys & Emotion,face-neutral-skeptical,1F636,"face, open eyes, no mouth, speechless, silence, disappointed, blank face, mouthless, embarrassed"
😏,smirking face,Smileys & Emotion,face-neutral-skeptical,1F60F,"face, sly, smug, mischievous, half smile, raised eyebrows, irony, playful, flirting, suggestive"
😒,unamused face,Smileys & Emotion,face-neutral-skeptical,1F612,"face, raised eyebrows, frown, displeasure, grumpy, skeptical, side eye, dissatisfied, disinterested, disapproval"
🙄,face with rolling eyes,Smileys & Emotion,face-neutral-skeptical,1F644,"face, small mouth, closed mouth, large eyes, white eyes, rolling eyes, distain, disapproval, frustrated, resentful"
😬,grimacing face,Smileys & Emotion,face-neutral-skeptical,1F62C,"face, grimacing, open eyes, teeth, nervousm, embarrassedm, awkward, clenched teeth, gritted teeth"
🤥,lying face,Smileys & Emotion,face-neutral-skeptical,1F925,"face, raised eyebrows, enlarged eyes, frown, long nose, lying, liar, deceit, dishonest, disblief, abashed, pinocchio, "
😌,relieved face,Smileys & Emotion,face-sleepy,1F60C,"face, soft eyes, closed eyes, raised eyebrows, slightly smiling, contentment, calm, peace, relief, relieved, relaxed, thankful, pleased, content"
😔,pensive face,Smileys & Emotion,face-sleepy,1F614,"face, pensive, remorseful, saddened, sad eyes, closed eyes, furrowed eyebrows, eyebrows, small mouth, flat mouth, sad, disappointed, hurt, lonely, melancholy, dissatisfied, frustrated"
😪,sleepy face,Smileys & Emotion,face-sleepy,1F62A,"face, sleepy, closed eyes, slightly open mouth, blue, snot bubble, tired, sad, dissastified, ill, boring, drowsy"
🤤,drooling face,Smileys & Emotion,face-sleepy,1F924,"face, drooling, slobbering, raised eyebrows, saliva, slightly open mouth, delicious, tired, sleeping, "
😴,sleeping face,Smileys & Emotion,face-sleepy,1F634,"face, closed eyes, zzz, asleep, boring, drowsy, sleep, snoring, good night, tired"
😷,face with medical mask,Smileys & Emotion,face-unwell,1F637,"face, unwell, mask, ill, sick, doctor, sars, flu, cold"
🤒,face with thermometer,Smileys & Emotion,face-unwell,1F912,"face, unwell, thermometer, red cheeks, rosy cheeks, feverish, cold, flu, fever, ill, sick"
🤕,face with head-bandage,Smileys & Emotion,face-unwell,1F915,"face, unwell, half frown, bandage, bandaged head, injured, clumsy"
🤢,nauseated face,Smileys & Emotion,face-unwell,1F922,"face, unwell, nauseated,  puffed, disgust, green face, vomit, aversion, green"
🤮,face vomiting,Smileys & Emotion,face-unwell,1F92E,"face, unwell, scrunched, X-shaped eyes, green, spewing, vomit, open mouth, throw up, puking"
🤧,sneezing face,Smileys & Emotion,face-unwell,1F927,"face, unwell, sneezing, white, tissue, cold, allergies, crumpled mouth, closed eyes, ill"
🥵,hot face,Smileys & Emotion,face-unwell,1F975,"face, unwell, open eyes, furrowed eyebrows, eyebrows, tongue, stuck out tongue, sweat, overheated, red, red face, hot"
🥶,cold face,Smileys & Emotion,face-unwell,1F976,"face, unwell, blue, blue face, open eyes, clenched teeth, gritted teeth, teeth, icicle, cold, freezing, chill, frozen"
🥴,woozy face,Smileys & Emotion,face-unwell,1F974,"face, unwell, crumpled mouth, cockeyed, tired, inebriation, raised eyebrows, dazed, drunk, woozy"
😵,dizzy face,Smileys & Emotion,face-unwell,1F635,"face, unwell, dizzy, round mouth, open mouth, raised eyebrows, shock, surprise, disbelief, amazed, death"
🤯,exploding head,Smileys & Emotion,face-unwell,1F92F,"face, unwell, open mouth, mushroom cloud, mind blown, shock, amazed, disbelief, exploding head"
🤠,cowboy hat face,Smileys & Emotion,face-hat,1F920,"face, hat, cowboy, cowboy hat, brown leather, grinning, teeth, wide brimmed, confident, adventure"
🥳,partying face,Smileys & Emotion,face-hat,1F973,"face, hat, party hat, party, confetti, joy, horn"
😎,smiling face with sunglasses,Smileys & Emotion,face-glasses,1F60E,"face, broad smile, closed smile, black, sunglasses, glasses, black glasses, black sunglasses, cool, confident, carefree, excellent, relaxed"
🤓,nerd face,Smileys & Emotion,face-glasses,1F913,"face, teeth, buck teeth, glasses, black glasses, nerd, smile, knowledgeable, excited, smart"
🧐,face with monocle,Smileys & Emotion,face-glasses,1F9D0,"face, furrowed eyebrows, glasses, monocle, upturned head, pondering, considering, questioning, skeptical"
😕,confused face,Smileys & Emotion,face-concerned,1F615,"face, concerned, open eyes, frown, unsure, confused, sad, disappointed, frustrated, puzzled, uncertain"
😟,worried face,Smileys & Emotion,face-concerned,1F61F,"face, concerned, open eyes, raised eyebrows, furrowed, eyebrows, frown, broad brown, disappointed, unhappy, anxious"
🙁,slightly frowning face,Smileys & Emotion,face-concerned,1F641,"face, concerned, open eyes, frown, slight frown, disappointed, sad"
☹️,frowning face,Smileys & Emotion,face-concerned,2639 FE0F,"face, concerned, "
☹,frowning face,Smileys & Emotion,face-concerned,2639,"face, concerned, open eyes, frown, steep frown, disappointed, sad, megafrown"
😮,face with open mouth,Smileys & Emotion,face-concerned,1F62E,"face, concerned, open eyes, open mouth, round mouth, surprise, shock, wow, disbelief, impressed, astonished "
😯,hushed face,Smileys & Emotion,face-concerned,1F62F,"face, concerned, open eyes, raised eyebrows, eyebrows, surprise, open mouth, round mouth"
😲,astonished face,Smileys & Emotion,face-concerned,1F632,"face, concerned, open eyes, raised eyebrows, eyebrows, open mouth, teeth, amazed, admiration, disbelief, excited, astonished, open mouth, gasping, shocked"
😳,flushed face,Smileys & Emotion,face-concerned,1F633,"face, concerned, flushed, closed mouth, flat mouth, white eyes, red cheeks, rosy cheeks, embrassed, surprised, disbelief, admiration, affection, excited, shame, shocked"
🥺,pleading face,Smileys & Emotion,face-concerned,1F97A,"face, concerned, pleading, furrowed eyebrows, begging"
😦,frowning face with open mouth,Smileys & Emotion,face-concerned,1F626,"face, concerned, frown, open mouth, open eyes, shocked, disappointed, yawning, open frown, frown, surprise"
😧,anguished face,Smileys & Emotion,face-concerned,1F627,"face, concerned, anguished, open eyes, open frown, frown, raised eyebrows, eyebrows, shocked, gasping, surprise, open mouth, frustrated, disappointed"
😨,fearful face,Smileys & Emotion,face-concerned,1F628,"face, concerned, fearful, open eyes, open frown, frown, raised eyebrows, blue, scared, surprised, shocked, amazed, frightened, stunned"
😰,anxious face with sweat,Smileys & Emotion,face-concerned,1F630,"face, concerned, open eyes, frown, open frown, eyebrows, furrowed eyebrows, blue, sweat, nervous, disappointed, anxious, droplet, shocked, worried, open mouth"
😥,sad but relieved face,Smileys & Emotion,face-concerned,1F625,"face, concerned, open eyes, frown, slight frown, sweat, droplet, anxious, disappointed, furrowed eyebrows, eyebrows"
😢,crying face,Smileys & Emotion,face-concerned,1F622,"face, concerned, raised eyebrows, eyebrows, frown, slight frown, tear, droplet, blue, open eyes, sad, crying"
😭,loudly crying face,Smileys & Emotion,face-concerned,1F62D,"face, concerned, open mouth, wailing, tear, closed eyes, sad, bawling, crying, sobbing, blue"
😱,face screaming in fear,Smileys & Emotion,face-concerned,1F631,"face, concerned, screaming, fear, white eyes, long mouth, open mouth, hands, blue forehead, blue, frightened, shocked"
😖,confounded face,Smileys & Emotion,face-concerned,1F616,"face, concerned, confounded, scrunched, X-shaped eyes, crumpled mouth, frustrated, disgust, sad, quivering"
😣,persevering face,Smileys & Emotion,face-concerned,1F623,"face, concerned, frown, slight frown, furrowed eyebrows, eyebrows, scrunched, X-shaped eyes, frustrated, sad, helpless, struggle, open mouth"
😞,disappointed face,Smileys & Emotion,face-concerned,1F61E,"face, concerned, closed eyes, frown, downcast eyes, disappointed, grief, sad, remorse, frustrated"
😓,downcast face with sweat,Smileys & Emotion,face-concerned,1F613,"face, concerned, closed eyes, frown, sweet, droplet, sad, frustrated, disappointed, blue"
😩,weary face,Smileys & Emotion,face-concerned,1F629,"face, concerned, closed eyes, furrowed eyebrows, eyebrows, broad frown, open frown, frown, teeth, upper teeth, frustrated, sad, crescent-shaped eyes, distraught, weary, tired"
😫,tired face,Smileys & Emotion,face-concerned,1F62B,"face, concerned, scrunched, X-shaped eyes, furrowed eyebrows, broad frown, open frown, teeth, upper teeth, exhausted, tired, open mouth"
🥱,yawning face,Smileys & Emotion,face-concerned,1F971,"face, concerned, yawning, closed eyes, eyebrows, covered mouth, hand, sleepy, tired"
😤,face with steam from nose,Smileys & Emotion,face-negative,1F624,"face, negative, closed eyes, furrowed eyebrows, eyebrows, broad frown, frown, huffing, angry, steam,  mad, steaming, frustrated"
😡,pouting face,Smileys & Emotion,face-negative,1F621,"face, pounting, red, red face, frowning mouth, angry, grumpy, mad, eyebrows, furious, scrunched eyebrows"
😠,angry face,Smileys & Emotion,face-negative,1F620,"face, angry, frowning mouth, eyebrows, scrunched eyebrows, grumpy"
🤬,face with symbols on mouth,Smileys & Emotion,face-negative,1F92C,"face, angry, red, redface, black bar, grawlixes, covered mouth, swearing, frustrated, cursing"
😈,smiling face with horns,Smileys & Emotion,face-negative,1F608,"face, "
👿,angry face with horns,Smileys & Emotion,face-negative,1F47F,"face, "
💀,skull,Smileys & Emotion,face-negative,1F480,
☠️,skull and crossbones,Smileys & Emotion,face-negative,2620 FE0F,
☠,skull and crossbones,Smileys & Emotion,face-negative,2620,
💩,pile of poo,Smileys & Emotion,face-costume,1F4A9,
🤡,clown face,Smileys & Emotion,face-costume,1F921,
👹,ogre,Smileys & Emotion,face-costume,1F479,
👺,goblin,Smileys & Emotion,face-costume,1F47A,
👻,ghost,Smileys & Emotion,face-costume,1F47B,
👽,alien,Smileys & Emotion,face-costume,1F47D,
👾,alien monster,Smileys & Emotion,face-costume,1F47E,
🤖,robot,Smileys & Emotion,face-costume,1F916,
😺,grinning cat,Smileys & Emotion,cat-face,1F63A,
😸,grinning cat with smiling eyes,Smileys & Emotion,cat-face,1F638,
😹,cat with tears of joy,Smileys & Emotion,cat-face,1F639,
😻,smiling cat with heart-eyes,Smileys & Emotion,cat-face,1F63B,
😼,cat with wry smile,Smileys & Emotion,cat-face,1F63C,
😽,kissing cat,Smileys & Emotion,cat-face,1F63D,
🙀,weary cat,Smileys & Emotion,cat-face,1F640,
😿,crying cat,Smileys & Emotion,cat-face,1F63F,
😾,pouting cat,Smileys & Emotion,cat-face,1F63E,
🙈,see-no-evil monkey,Smileys & Emotion,monkey-face,1F648,
🙉,hear-no-evil monkey,Smileys & Emotion,monkey-face,1F649,
🙊,speak-no-evil monkey,Smileys & Emotion,monkey-face,1F64A,
💋,kiss mark,Smileys & Emotion,emotion,1F48B,
💌,love letter,Smileys & Emotion,emotion,1F48C,
💘,heart with arrow,Smileys & Emotion,emotion,1F498,
💝,heart with ribbon,Smileys & Emotion,emotion,1F49D,
💖,sparkling heart,Smileys & Emotion,emotion,1F496,
💗,growing heart,Smileys & Emotion,emotion,1F497,
💓,beating heart,Smileys & Emotion,emotion,1F493,
💞,revolving hearts,Smileys & Emotion,emotion,1F49E,
💕,two hearts,Smileys & Emotion,emotion,1F495,
💟,heart decoration,Smileys & Emotion,emotion,1F49F,
❣️,heart exclamation,Smileys & Emotion,emotion,2763 FE0F,
❣,heart exclamation,Smileys & Emotion,emotion,2763,
💔,broken heart,Smileys & Emotion,emotion,1F494,
❤️,red heart,Smileys & Emotion,emotion,2764 FE0F,
❤,red heart,Smileys & Emotion,emotion,2764,
🧡,orange heart,Smileys & Emotion,emotion,1F9E1,
💛,yellow heart,Smileys & Emotion,emotion,1F49B,
💚,green heart,Smileys & Emotion,emotion,1F49A,
💙,blue heart,Smileys & Emotion,emotion,1F499,
💜,purple heart,Smileys & Emotion,emotion,1F49C,
🤎,brown heart,Smileys & Emotion,emotion,1F90E,
🖤,black heart,Smileys & Emotion,emotion,1F5A4,
🤍,white heart,Smileys & Emotion,emotion,1F90D,
💯,hundred points,Smileys & Emotion,emotion,1F4AF,
💢,anger symbol,Smileys & Emotion,emotion,1F4A2,
💥,collision,Smileys & Emotion,emotion,1F4A5,
💫,dizzy,Smileys & Emotion,emotion,1F4AB,
💦,sweat droplets,Smileys & Emotion,emotion,1F4A6,
💨,dashing away,Smileys & Emotion,emotion,1F4A8,
🕳️,hole,Smileys & Emotion,emotion,1F573 FE0F,
🕳,hole,Smileys & Emotion,emotion,1F573,
💣,bomb,Smileys & Emotion,emotion,1F4A3,
💬,speech balloon,Smileys & Emotion,emotion,1F4AC,
👁️‍🗨️,eye in speech bubble,Smileys & Emotion,emotion,1F441 FE0F 200D 1F5E8 FE0F,
👁‍🗨️,eye in speech bubble,Smileys & Emotion,emotion,1F441 200D 1F5E8 FE0F,
👁️‍🗨,eye in speech bubble,Smileys & Emotion,emotion,1F441 FE0F 200D 1F5E8,
👁‍🗨,eye in speech bubble,Smileys & Emotion,emotion,1F441 200D 1F5E8,
🗨️,left speech bubble,Smileys & Emotion,emotion,1F5E8 FE0F,
🗨,left speech bubble,Smileys & Emotion,emotion,1F5E8,
🗯️,right anger bubble,Smileys & Emotion,emotion,1F5EF FE0F,
🗯,right anger bubble,Smileys & Emotion,emotion,1F5EF,
💭,thought balloon,Smileys & Emotion,emotion,1F4AD,
💤,zzz,Smileys & Emotion,emotion,1F4A4,
👋,waving hand,People & Body,hand-fingers-open,1F44B,
👋🏻,waving hand: light skin tone,People & Body,hand-fingers-open,1F44B 1F3FB,
👋🏼,waving hand: medium-light skin tone,People & Body,hand-fingers-open,1F44B 1F3FC,
👋🏽,waving hand: medium skin tone,People & Body,hand-fingers-open,1F44B 1F3FD,
👋🏾,waving hand: medium-dark skin tone,People & Body,hand-fingers-open,1F44B 1F3FE,
👋🏿,waving hand: dark skin tone,People & Body,hand-fingers-open,1F44B 1F3FF,
🤚,raised back of hand,People & Body,hand-fingers-open,1F91A,
🤚🏻,raised back of hand: light skin tone,People & Body,hand-fingers-open,1F91A 1F3FB,
🤚🏼,raised back of hand: medium-light skin tone,People & Body,hand-fingers-open,1F91A 1F3FC,
🤚🏽,raised back of hand: medium skin tone,People & Body,hand-fingers-open,1F91A 1F3FD,
🤚🏾,raised back of hand: medium-dark skin tone,People & Body,hand-fingers-open,1F91A 1F3FE,
🤚🏿,raised back of hand: dark skin tone,People & Body,hand-fingers-open,1F91A 1F3FF,
🖐️,hand with fingers splayed,People & Body,hand-fingers-open,1F590 FE0F,
🖐,hand with fingers splayed,People & Body,hand-fingers-open,1F590,
🖐🏻,hand with fingers splayed: light skin tone,People & Body,hand-fingers-open,1F590 1F3FB,
🖐🏼,hand with fingers splayed: medium-light skin tone,People & Body,hand-fingers-open,1F590 1F3FC,
🖐🏽,hand with fingers splayed: medium skin tone,People & Body,hand-fingers-open,1F590 1F3FD,
🖐🏾,hand with fingers splayed: medium-dark skin tone,People & Body,hand-fingers-open,1F590 1F3FE,
🖐🏿,hand with fingers splayed: dark skin tone,People & Body,hand-fingers-open,1F590 1F3FF,
✋,raised hand,People & Body,hand-fingers-open,270B,
✋🏻,raised hand: light skin tone,People & Body,hand-fingers-open,270B 1F3FB,
✋🏼,raised hand: medium-light skin tone,People & Body,hand-fingers-open,270B 1F3FC,
✋🏽,raised hand: medium skin tone,People & Body,hand-fingers-open,270B 1F3FD,
✋🏾,raised hand: medium-dark skin tone,People & Body,hand-fingers-open,270B 1F3FE,
✋🏿,raised hand: dark skin tone,People & Body,hand-fingers-open,270B 1F3FF,
🖖,vulcan salute,People & Body,hand-fingers-open,1F596,
🖖🏻,vulcan salute: light skin tone,People & Body,hand-fingers-open,1F596 1F3FB,
🖖🏼,vulcan salute: medium-light skin tone,People & Body,hand-fingers-open,1F596 1F3FC,
🖖🏽,vulcan salute: medium skin tone,People & Body,hand-fingers-open,1F596 1F3FD,
🖖🏾,vulcan salute: medium-dark skin tone,People & Body,hand-fingers-open,1F596 1F3FE,
🖖🏿,vulcan salute: dark skin tone,People & Body,hand-fingers-open,1F596 1F3FF,
👌,OK hand,People & Body,hand-fingers-partial,1F44C,
👌🏻,OK hand: light skin tone,People & Body,hand-fingers-partial,1F44C 1F3FB,
👌🏼,OK hand: medium-light skin tone,People & Body,hand-fingers-partial,1F44C 1F3FC,
👌🏽,OK hand: medium skin tone,People & Body,hand-fingers-partial,1F44C 1F3FD,
👌🏾,OK hand: medium-dark skin tone,People & Body,hand-fingers-partial,1F44C 1F3FE,
👌🏿,OK hand: dark skin tone,People & Body,hand-fingers-partial,1F44C 1F3FF,
🤏,pinching hand,People & Body,hand-fingers-partial,1F90F,
🤏🏻,pinching hand: light skin tone,People & Body,hand-fingers-partial,1F90F 1F3FB,
🤏🏼,pinching hand: medium-light skin tone,People & Body,hand-fingers-partial,1F90F 1F3FC,
🤏🏽,pinching hand: medium skin tone,People & Body,hand-fingers-partial,1F90F 1F3FD,
🤏🏾,pinching hand: medium-dark skin tone,People & Body,hand-fingers-partial,1F90F 1F3FE,
🤏🏿,pinching hand: dark skin tone,People & Body,hand-fingers-partial,1F90F 1F3FF,
✌️,victory hand,People & Body,hand-fingers-partial,270C FE0F,
✌,victory hand,People & Body,hand-fingers-partial,270C,
✌🏻,victory hand: light skin tone,People & Body,hand-fingers-partial,270C 1F3FB,
✌🏼,victory hand: medium-light skin tone,People & Body,hand-fingers-partial,270C 1F3FC,
✌🏽,victory hand: medium skin tone,People & Body,hand-fingers-partial,270C 1F3FD,
✌🏾,victory hand: medium-dark skin tone,People & Body,hand-fingers-partial,270C 1F3FE,
✌🏿,victory hand: dark skin tone,People & Body,hand-fingers-partial,270C 1F3FF,
🤞,crossed fingers,People & Body,hand-fingers-partial,1F91E,
🤞🏻,crossed fingers: light skin tone,People & Body,hand-fingers-partial,1F91E 1F3FB,
🤞🏼,crossed fingers: medium-light skin tone,People & Body,hand-fingers-partial,1F91E 1F3FC,
🤞🏽,crossed fingers: medium skin tone,People & Body,hand-fingers-partial,1F91E 1F3FD,
🤞🏾,crossed fingers: medium-dark skin tone,People & Body,hand-fingers-partial,1F91E 1F3FE,
🤞🏿,crossed fingers: dark skin tone,People & Body,hand-fingers-partial,1F91E 1F3FF,
🤟,love-you gesture,People & Body,hand-fingers-partial,1F91F,
🤟🏻,love-you gesture: light skin tone,People & Body,hand-fingers-partial,1F91F 1F3FB,
🤟🏼,love-you gesture: medium-light skin tone,People & Body,hand-fingers-partial,1F91F 1F3FC,
🤟🏽,love-you gesture: medium skin tone,People & Body,hand-fingers-partial,1F91F 1F3FD,
🤟🏾,love-you gesture: medium-dark skin tone,People & Body,hand-fingers-partial,1F91F 1F3FE,
🤟🏿,love-you gesture: dark skin tone,People & Body,hand-fingers-partial,1F91F 1F3FF,
🤘,sign of the horns,People & Body,hand-fingers-partial,1F918,
🤘🏻,sign of the horns: light skin tone,People & Body,hand-fingers-partial,1F918 1F3FB,
🤘🏼,sign of the horns: medium-light skin tone,People & Body,hand-fingers-partial,1F918 1F3FC,
🤘🏽,sign of the horns: medium skin tone,People & Body,hand-fingers-partial,1F918 1F3FD,
🤘🏾,sign of the horns: medium-dark skin tone,People & Body,hand-fingers-partial,1F918 1F3FE,
🤘🏿,sign of the horns: dark skin tone,People & Body,hand-fingers-partial,1F918 1F3FF,
🤙,call me hand,People & Body,hand-fingers-partial,1F919,
🤙🏻,call me hand: light skin tone,People & Body,hand-fingers-partial,1F919 1F3FB,
🤙🏼,call me hand: medium-light skin tone,People & Body,hand-fingers-partial,1F919 1F3FC,
🤙🏽,call me hand: medium skin tone,People & Body,hand-fingers-partial,1F919 1F3FD,
🤙🏾,call me hand: medium-dark skin tone,People & Body,hand-fingers-partial,1F919 1F3FE,
🤙🏿,call me hand: dark skin tone,People & Body,hand-fingers-partial,1F919 1F3FF,
👈,backhand index pointing left,People & Body,hand-single-finger,1F448,
👈🏻,backhand index pointing left: light skin tone,People & Body,hand-single-finger,1F448 1F3FB,
👈🏼,backhand index pointing left: medium-light skin tone,People & Body,hand-single-finger,1F448 1F3FC,
👈🏽,backhand index pointing left: medium skin tone,People & Body,hand-single-finger,1F448 1F3FD,
👈🏾,backhand index pointing left: medium-dark skin tone,People & Body,hand-single-finger,1F448 1F3FE,
👈🏿,backhand index pointing left: dark skin tone,People & Body,hand-single-finger,1F448 1F3FF,
👉,backhand index pointing right,People & Body,hand-single-finger,1F449,
👉🏻,backhand index pointing right: light skin tone,People & Body,hand-single-finger,1F449 1F3FB,
👉🏼,backhand index pointing right: medium-light skin tone,People & Body,hand-single-finger,1F449 1F3FC,
👉🏽,backhand index pointing right: medium skin tone,People & Body,hand-single-finger,1F449 1F3FD,
👉🏾,backhand index pointing right: medium-dark skin tone,People & Body,hand-single-finger,1F449 1F3FE,
👉🏿,backhand index pointing right: dark skin tone,People & Body,hand-single-finger,1F449 1F3FF,
👆,backhand index pointing up,People & Body,hand-single-finger,1F446,
👆🏻,backhand index pointing up: light skin tone,People & Body,hand-single-finger,1F446 1F3FB,
👆🏼,backhand index pointing up: medium-light skin tone,People & Body,hand-single-finger,1F446 1F3FC,
👆🏽,backhand index pointing up: medium skin tone,People & Body,hand-single-finger,1F446 1F3FD,
👆🏾,backhand index pointing up: medium-dark skin tone,People & Body,hand-single-finger,1F446 1F3FE,
👆🏿,backhand index pointing up: dark skin tone,People & Body,hand-single-finger,1F446 1F3FF,
🖕,middle finger,People & Body,hand-single-finger,1F595,
🖕🏻,middle finger: light skin tone,People & Body,hand-single-finger,1F595 1F3FB,
🖕🏼,middle finger: medium-light skin tone,People & Body,hand-single-finger,1F595 1F3FC,
🖕🏽,middle finger: medium skin tone,People & Body,hand-single-finger,1F595 1F3FD,
🖕🏾,middle finger: medium-dark skin tone,People & Body,hand-single-finger,1F595 1F3FE,
🖕🏿,middle finger: dark skin tone,People & Body,hand-single-finger,1F595 1F3FF,
👇,backhand index pointing down,People & Body,hand-single-finger,1F447,
👇🏻,backhand index pointing down: light skin tone,People & Body,hand-single-finger,1F447 1F3FB,
👇🏼,backhand index pointing down: medium-light skin tone,People & Body,hand-single-finger,1F447 1F3FC,
